Team,Jersey Type,Season,Design,Color,Brand,Sponsor,League,Nation,Rating,Worn By Player,Herysey Image,Tournament won,logo without BG,Major Tournament Played,,,,,
India,Home,2025,,,Adidas,Dream 11,ODI 50-50,India,4,"Virat Kohli , Rohit Sharma",,,,,,,,,
Australi,Home,2023,,,Asics,,ODI 50-50,Australia,4.5,"Pat cummins , Starc , Smith",,ICC World cup ODI champions,,,,,,T 20 world cup,Winner
,,,,,,,,,,,,,,,,,,T 20 world cup,Runner Up
,,,,,,,,,,,,,,,,,,ODI 50 50 ,Winner
,,,,,,,,,,,,,,,,,,ODI 50 50 ,Runner Up
,,,,,,,,,,,,,,,,,,Test Championship,Winner
,,,,,,,,,,,,,,,,,,Test Championship,Runner Up
,,,,,,,,,,,,,,,,,,ICC Champions Trophy,Winner
,,,,,,,,,,,,,,,,,,ICC Champions Trophy,Runner Up
,,,,,,,,,,,,,,,,,,Asia Cup,Winner
,,,,,,,,,,,,,,,,,,Asia Cup,Runner Up
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Test Matches,Ashes,
,,,,,,,,,,,,,,,,,,BGT,